v8-version,4,5,103,33,0
code-creation,Stub,11,0x252c5c812dc0,220,"BinaryOpICStub(SAR:Smi*Smi->Smi)"
code-creation,Stub,11,0x252c5c812ea0,220,"BinaryOpICStub(SHL:Int32*Smi->Int32)"
code-creation,Stub,11,0x252c5c812f80,220,"BinaryOpICStub(SHL:Int32*Smi->Smi)"
code-creation,Stub,11,0x252c5c813060,344,"BinaryOpICStub(SHL:Number*Smi->Smi)"
code-creation,Stub,11,0x252c5c8131c0,220,"BinaryOpICStub(SHL:Smi*Smi->Int32)"
code-creation,Stub,11,0x252c5c8132a0,220,"BinaryOpICStub(SHL:Smi*Smi->Smi)"
tick,0x9337d0,14481,0,0x0,4
code-creation,Stub,11,0x252c5c813380,248,"BinaryOpICStub(SHR:Int32*Smi->Smi)"
code-creation,Stub,11,0x252c5c813480,364,"BinaryOpICStub(SHR:Number*Smi->Int32)"
code-creation,Stub,11,0x252c5c813600,364,"BinaryOpICStub(SHR:Number*Smi->Smi)"
code-creation,Stub,11,0x252c5c813780,248,"BinaryOpICStub(SHR:Smi*Smi->Smi)"
code-creation,Stub,11,0x252c5c813880,232,"BinaryOpICStub(SUB:Int32*Int32->Int32)"
code-creation,Stub,11,0x252c5c813980,442,"BinaryOpICStub(SUB:Int32*Number->Number)"
code-creation,Stub,11,0x252c5c813b40,232,"BinaryOpICStub(SUB:Int32*Smi->Int32)"
code-creation,Stub,11,0x252c5c813c40,442,"BinaryOpICStub(SUB:Number*Int32->Number)"
code-creation,Stub,11,0x252c5c813e00,466,"BinaryOpICStub(SUB:Number*Number->Number)"
code-creation,Stub,11,0x252c5c813fe0,442,"BinaryOpICStub(SUB:Number*Smi->Number)"
code-creation,Stub,11,0x252c5c8141a0,232,"BinaryOpICStub(SUB:Smi*Int32->Int32)"
code-creation,Stub,11,0x252c5c8142a0,442,"BinaryOpICStub(SUB:Smi*Number->Number)"
tick,0xb206b0,15559,0,0x0,4
code-creation,Stub,11,0x252c5c814460,232,"BinaryOpICStub(SUB:Smi*Smi->Smi)"
code-creation,Stub,11,0x252c5c814560,284,"BinaryOpICStub(MOD:Smi*2->Smi)"
code-creation,Stub,11,0x252c5c814680,284,"BinaryOpICStub(MOD:Smi*4->Smi)"
code-creation,Stub,11,0x252c5c8147a0,284,"BinaryOpICStub(MOD:Smi*8->Smi)"
code-creation,Stub,11,0x252c5c8148c0,284,"BinaryOpICStub(MOD:Smi*16->Smi)"
code-creation,Stub,11,0x252c5c8149e0,284,"BinaryOpICStub(MOD:Smi*32->Smi)"
code-creation,Stub,11,0x252c5c814b00,296,"BinaryOpICStub(MOD:Smi*2048->Smi)"
code-creation,Stub,2,0x252c5c814c40,2672,"RecordWriteStub"
code-creation,Stub,2,0x252c5c8156c0,360,"StoreFastElementStub"
tick,0xbbf110,16625,0,0x0,4
code-creation,Stub,2,0x252c5c815840,2702,"RecordWriteStub"
code-creation,Stub,2,0x252c5c8162e0,188,"DoubleToIStub"
code-creation,Stub,2,0x252c5c8163a0,938,"StoreFastElementStub"
code-creation,Stub,2,0x252c5c816760,336,"StoreFastElementStub"
code-creation,Stub,2,0x252c5c8168c0,188,"DoubleToIStub"
code-creation,Stub,2,0x252c5c816980,942,"StoreFastElementStub"
code-creation,Stub,2,0x252c5c816d40,332,"StoreFastElementStub"
code-creation,Stub,2,0x252c5c816ea0,926,"StoreFastElementStub"
tick,0xbc1442,17690,0,0x0,4
code-creation,Stub,2,0x252c5c817240,360,"StoreFastElementStub"
code-creation,Stub,2,0x252c5c8173c0,954,"StoreFastElementStub"
code-creation,Stub,2,0x252c5c817780,360,"StoreFastElementStub"
code-creation,Stub,2,0x252c5c817900,954,"StoreFastElementStub"
code-creation,Stub,2,0x252c5c817cc0,336,"StoreFastElementStub"
code-creation,Stub,2,0x252c5c817e20,938,"StoreFastElementStub"
tick,0xbd291d,18836,0,0x0,4
code-creation,Stub,2,0x252c5c8181e0,336,"StoreFastElementStub"
code-creation,Stub,2,0x252c5c818340,938,"StoreFastElementStub"
code-creation,Stub,2,0x252c5c818700,424,"TypeofStub"
code-creation,Stub,2,0x252c5c8188c0,372,"JSEntryStub"
code-creation,Stub,2,0x252c5c818a40,372,"JSConstructEntryStub"
