v8-version,4,5,103,33,0
code-creation,Builtin,4,0x1e64ff820f80,203,"MarkCodeAsExecutedOnce"
code-creation,Builtin,4,0x1e64ff821060,194,"MarkCodeAsExecutedTwice"
code-creation,Builtin,4,0x1e64ff821140,194,"MakeQuadragenarianCodeYoungAgainOddMarking"
code-creation,Builtin,4,0x1e64ff821220,194,"MakeQuadragenarianCodeYoungAgainEvenMarking"
code-creation,Builtin,4,0x1e64ff821300,194,"MakeQuinquagenarianCodeYoungAgainOddMarking"
code-creation,Builtin,4,0x1e64ff8213e0,194,"MakeQuinquagenarianCodeYoungAgainEvenMarking"
code-creation,Builtin,4,0x1e64ff8214c0,194,"MakeSexagenarianCodeYoungAgainOddMarking"
code-creation,Builtin,4,0x1e64ff8215a0,194,"MakeSexagenarianCodeYoungAgainEvenMarking"
code-creation,Builtin,4,0x1e64ff821680,194,"MakeSeptuagenarianCodeYoungAgainOddMarking"
code-creation,Builtin,4,0x1e64ff821760,194,"MakeSeptuagenarianCodeYoungAgainEvenMarking"
code-creation,Builtin,4,0x1e64ff821840,194,"MakeOctogenarianCodeYoungAgainOddMarking"
code-creation,Builtin,4,0x1e64ff821920,194,"MakeOctogenarianCodeYoungAgainEvenMarking"
code-creation,Builtin,3,0x1e64ff821a00,117,"LoadIC_Slow"
code-creation,Builtin,3,0x1e64ff821a80,117,"LoadIC_Slow_Strong"
code-creation,Builtin,3,0x1e64ff821b00,117,"KeyedLoadIC_Slow"
code-creation,Builtin,3,0x1e64ff821b80,117,"KeyedLoadIC_Slow_Strong"
code-creation,Builtin,3,0x1e64ff821c00,118,"StoreIC_Slow"
code-creation,Builtin,3,0x1e64ff821c80,118,"KeyedStoreIC_Slow"
code-creation,Stub,2,0x1e64ff821d00,972,"NameDictionaryLookupStub"
code-creation,Builtin,3,0x1e64ff8220e0,275,"LoadIC_Normal"
code-creation,Builtin,3,0x1e64ff822200,275,"LoadIC_Normal_Strong"
code-creation,Stub,2,0x1e64ff822320,991,"NameDictionaryLookupStub"
code-creation,Stub,2,0x1e64ff822700,1786,"RecordWriteStub"
code-creation,Builtin,3,0x1e64ff822e00,345,"StoreIC_Normal"
code-creation,Builtin,4,0x1e64ff822f60,199,"Return_DebugBreak"
code-creation,Builtin,4,0x1e64ff823040,195,"CallFunctionStub_DebugBreak"
code-creation,Builtin,4,0x1e64ff823120,231,"CallConstructStub_DebugBreak"
code-creation,Builtin,4,0x1e64ff823220,235,"CallConstructStub_Recording_DebugBreak"
code-creation,Builtin,8,0x1e64ff823320,197,"CallICStub_DebugBreak"
